,YEAR,MONTH,DISTRICT,PRECTOT
564,1989,1,Baglung,27.61
565,1989,2,Baglung,9.87
566,1989,3,Baglung,7.09
567,1989,4,Baglung,6.61
568,1989,5,Baglung,40.97
569,1989,6,Baglung,129.19
570,1989,7,Baglung,213.48
571,1989,8,Baglung,152.01
572,1989,9,Baglung,61.0
573,1989,10,Baglung,7.09
574,1989,11,Baglung,2.62
575,1989,12,Baglung,6.91
576,1990,1,Baglung,0.12
577,1990,2,Baglung,25.49
578,1990,3,Baglung,6.17
579,1990,4,Baglung,6.39
580,1990,5,Baglung,20.61
581,1990,6,Baglung,129.8
582,1990,7,Baglung,435.98
583,1990,8,Baglung,146.61
584,1990,9,Baglung,108.02
585,1990,10,Baglung,8.91
586,1990,11,Baglung,0.04
587,1990,12,Baglung,1.9
588,1991,1,Baglung,5.72
589,1991,2,Baglung,1.14
590,1991,3,Baglung,9.98
591,1991,4,Baglung,1.15
592,1991,5,Baglung,29.38
593,1991,6,Baglung,25.53
594,1991,7,Baglung,133.92
595,1991,8,Baglung,143.64
596,1991,9,Baglung,121.81
597,1991,10,Baglung,2.95
598,1991,11,Baglung,0.6
599,1991,12,Baglung,31.48
600,1992,1,Baglung,0.99
601,1992,2,Baglung,1.96
602,1992,3,Baglung,1.17
603,1992,4,Baglung,0.13
604,1992,5,Baglung,16.97
605,1992,6,Baglung,84.22
606,1992,7,Baglung,162.47
607,1992,8,Baglung,151.83
608,1992,9,Baglung,104.41
609,1992,10,Baglung,73.4
610,1992,11,Baglung,4.46
611,1992,12,Baglung,0.49
612,1993,1,Baglung,5.67
613,1993,2,Baglung,2.19
614,1993,3,Baglung,32.49
615,1993,4,Baglung,12.65
616,1993,5,Baglung,26.48
617,1993,6,Baglung,103.67
618,1993,7,Baglung,155.82
619,1993,8,Baglung,95.76
620,1993,9,Baglung,111.31
621,1993,10,Baglung,3.36
622,1993,11,Baglung,0.51
623,1993,12,Baglung,0.0
624,1994,1,Baglung,16.84
625,1994,2,Baglung,3.89
626,1994,3,Baglung,4.62
627,1994,4,Baglung,1.74
628,1994,5,Baglung,6.96
629,1994,6,Baglung,96.38
630,1994,7,Baglung,173.43
631,1994,8,Baglung,78.88
632,1994,9,Baglung,126.55
633,1994,10,Baglung,3.06
634,1994,11,Baglung,0.1
635,1994,12,Baglung,0.0
636,1995,1,Baglung,7.93
637,1995,2,Baglung,12.13
638,1995,3,Baglung,4.87
639,1995,4,Baglung,5.64
640,1995,5,Baglung,16.06
641,1995,6,Baglung,133.95
642,1995,7,Baglung,168.71
643,1995,8,Baglung,186.55
644,1995,9,Baglung,46.53
645,1995,10,Baglung,6.22
646,1995,11,Baglung,31.41
647,1995,12,Baglung,2.79
648,1996,1,Baglung,36.82
649,1996,2,Baglung,21.93
650,1996,3,Baglung,1.95
651,1996,4,Baglung,32.84
652,1996,5,Baglung,37.01
653,1996,6,Baglung,79.97
654,1996,7,Baglung,140.15
655,1996,8,Baglung,199.13
656,1996,9,Baglung,40.98
657,1996,10,Baglung,42.59
658,1996,11,Baglung,0.01
659,1996,12,Baglung,0.0
660,1997,1,Baglung,4.21
661,1997,2,Baglung,0.0
662,1997,3,Baglung,1.36
663,1997,4,Baglung,29.55
664,1997,5,Baglung,7.88
665,1997,6,Baglung,35.16
666,1997,7,Baglung,105.51
667,1997,8,Baglung,99.65
668,1997,9,Baglung,19.58
669,1997,10,Baglung,3.38
670,1997,11,Baglung,1.29
671,1997,12,Baglung,17.32
672,1998,1,Baglung,1.32
673,1998,2,Baglung,2.84
674,1998,3,Baglung,13.81
675,1998,4,Baglung,17.77
676,1998,5,Baglung,16.53
677,1998,6,Baglung,73.61
